session_date,candidate_id,trades,net_pnl,stress_pnl
2025-10-24,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-57.980000000000004,-59.980000000000004
2025-10-27,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,17.020000000000003,15.02
2025-10-28,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-22.479999999999997,-24.479999999999997
2025-10-30,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,50.019999999999996,48.019999999999996
2025-10-31,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,13.52,11.52
2025-11-03,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-32.97999999999999,-34.97999999999999
2025-11-04,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,103.52000000000001,101.52000000000001
2025-11-05,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,52.52000000000001,50.52000000000001
2025-11-06,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,197.01999999999998,195.01999999999998
2025-11-07,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,40.51999999999998,38.51999999999998
2025-11-10,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,169.02,167.02
2025-11-11,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-68.98,-70.98
